stage,stage_type,date,departure,arrival,distance_km,vertical_meters,profile_score,avg_speed_winner_kmh,won_how
1,RR,05 July 2025,Lille Métropole,Lille Métropole,184.9,1065,17,47.576,Sprint of small group
2,RR,06 July 2025,Lauwin-Planque,Boulogne-sur-Mer,209.1,1953,73,43.916,Sprint of 26 riders
3,RR,07 July 2025,Valenciennes,Dunkerque,178.3,792,9,41.64,Sprint of large group
4,RR,08 July 2025,Amiens Métropole,Rouen,174.2,1745,81,45.348,Sprint of 6 riders
5,ITT,09 July 2025,Caen,Caen,33.0,191,1,53.951,Time trial
6,RR,10 July 2025,Bayeux,Vire Normandie,201.5,3309,143,45.767,42.5 km solo
7,RR,11 July 2025,Saint-Malo,Mûr-de-Bretagne (Guerlédan),197.0,2096,80,48.117,Sprint of small group
8,RR,12 July 2025,Saint-Méen-le-Grand,Laval (Espace Mayenne),171.4,1257,10,44.629,Sprint of large group
9,RR,13 July 2025,Chinon,Châteauroux,174.1,1019,6,50.013,Sprint of large group
10,RR,14 July 2025,Ennezat,Le Mont-Dore Puy de Sancy,165.3,4307,240,38.134,2.3 km solo
11,RR,16 July 2025,Toulouse,Toulouse,156.8,1567,78,48.016,Sprint à deux
12,RR,17 July 2025,Auch,Hautacam,180.6,3794,333,41.467,11.1 km solo
13,ITT,18 July 2025,Loudenvielle,Peyragudes,10.9,645,119,28.435,Time trial
14,RR,19 July 2025,Pau,Luchon-Superbagnères,182.6,5020,430,37.318,37 km solo
15,RR,20 July 2025,Muret,Carcassonne,169.3,2305,73,47.434,43.6 km solo
16,RR,22 July 2025,Montpellier,Mont Ventoux,171.5,2929,302,42.291,Sprint à deux
17,RR,23 July 2025,Bollène,Valence,160.4,1660,25,46.832,Sprint of small group
18,RR,24 July 2025,Vif,Courchevel (Col de la Loze),171.5,5642,414,33.873,15.8 km solo
19,RR,25 July 2025,Albertville,La Plagne,93.1,3431,340,33.63,13 km solo
20,RR,26 July 2025,Nantua,Pontarlier,184.2,2916,107,44.899,16.8 km solo
21,RR,27 July 2025,Mantes-la-Ville,Paris (Champs-Élysées),132.3,1129,26,42.336,6.4 km solo
