stage,rank,status,gc_position,gc_timelag_seconds,bib,specialty,age,nationality_code,rider,rider_url,team,uci_points,pcs_points,time_raw,stage_gap_seconds,elapsed_seconds
1,1,finished,1,0,101,Sprint,27,BE,Philipsen Jasper,https://www.procyclingstats.com/rider/jasper-philipsen,Alpecin - Deceuninck,210.0,100.0,3:53:11,0,13991
1,2,finished,2,4,41,Classic,25,ER,Girmay Biniam,https://www.procyclingstats.com/rider/biniam-girmay,Intermarché - Wanty,150.0,70.0,",,",0,13991
1,3,finished,3,6,228,Classic,25,NO,Wærenskjold Søren,https://www.procyclingstats.com/rider/soren-waerenskjold,Uno-X Mobility,110.0,50.0,",,",0,13991
1,4,finished,4,10,187,Classic,31,FR,Turgis Anthony,https://www.procyclingstats.com/rider/anthony-turgis,TotalEnergies,90.0,40.0,",,",0,13991
1,5,finished,5,10,118,Classic,35,IT,Trentin Matteo,https://www.procyclingstats.com/rider/matteo-trentin,Tudor Pro Cycling Team,70.0,32.0,",,",0,13991
1,6,finished,6,10,98,Classic,30,FR,Russo Clément,https://www.procyclingstats.com/rider/clement-russo,Groupama - FDJ,55.0,26.0,",,",0,13991
1,7,finished,7,10,97,Classic,23,FR,Penhoët Paul,https://www.procyclingstats.com/rider/paul-penhoet,Groupama - FDJ,45.0,22.0,",,",0,13991
1,8,finished,8,10,15,GC,26,US,Jorgenson Matteo,https://www.procyclingstats.com/rider/matteo-jorgenson,Team Visma | Lease a Bike,40.0,18.0,",,",0,13991
1,9,finished,9,10,116,Hills,24,DE,Mayrhofer Marius,https://www.procyclingstats.com/rider/marius-mayrhofer,Tudor Pro Cycling Team,35.0,14.0,",,",0,13991
1,10,finished,10,10,68,Hills,23,GB,Watson Samuel,https://www.procyclingstats.com/rider/samuel-watson,INEOS Grenadiers,30.0,10.0,",,",0,13991
1,11,finished,11,10,177,Classic,32,NL,Teunissen Mike,https://www.procyclingstats.com/rider/mike-teunissen,XDS Astana Team,25.0,8.0,",,",0,13991
1,12,finished,12,10,145,Classic,29,ES,García Cortina Iván,https://www.procyclingstats.com/rider/ivan-garcia-cortina,Movistar Team,20.0,6.0,",,",0,13991
1,13,finished,13,10,196,Sprint,26,DE,Märkl Niklas,https://www.procyclingstats.com/rider/niklas-markl,Team Picnic PostNL,15.0,4.0,",,",0,13991
1,14,finished,14,10,36,GC,26,AU,Sweeny Harry,https://www.procyclingstats.com/rider/harry-sweeny,EF Education - EasyPost,10.0,2.0,",,",0,13991
1,15,finished,15,10,207,Classic,30,LV,Neilands Krists,https://www.procyclingstats.com/rider/krists-neilands,Israel - Premier Tech,5.0,1.0,",,",0,13991
1,16,finished,16,10,131,GC,24,FR,Vauquelin Kévin,https://www.procyclingstats.com/rider/kevin-vauquelin,Arkéa - B&B Hotels,,,",,",0,13991
1,17,finished,17,10,168,Classic,28,FR,Touzé Damien,https://www.procyclingstats.com/rider/damien-touze,Cofidis,,,",,",0,13991
1,18,finished,18,10,1,Climber,26,SI,Pogačar Tadej,https://www.procyclingstats.com/rider/tadej-pogacar,UAE Team Emirates - XRG,,,",,",0,13991
1,19,finished,19,10,202,Sprint,31,DE,Ackermann Pascal,https://www.procyclingstats.com/rider/pascal-ackermann,Israel - Premier Tech,,,",,",0,13991
1,20,finished,20,10,11,GC,28,DK,Vingegaard Jonas,https://www.procyclingstats.com/rider/jonas-vingegaard,Team Visma | Lease a Bike,,,",,",0,13991
1,21,finished,21,10,87,Classic,33,BE,Stuyven Jasper,https://www.procyclingstats.com/rider/jasper-stuyven,Lidl - Trek,,,",,",0,13991
1,22,finished,22,10,113,Classic,34,AT,Haller Marco,https://www.procyclingstats.com/rider/marco-haller,Tudor Pro Cycling Team,,,",,",0,13991
1,23,finished,23,10,103,Hills,26,AU,Groves Kaden,https://www.procyclingstats.com/rider/kaden-groves,Alpecin - Deceuninck,,,",,",0,13991
1,24,finished,24,10,33,TT,30,DK,Asgreen Kasper,https://www.procyclingstats.com/rider/kasper-asgreen,EF Education - EasyPost,,,",,",0,13991
1,25,finished,25,10,203,GC,22,GB,Blackmore Joseph,https://www.procyclingstats.com/rider/joseph-blackmore,Israel - Premier Tech,,,",,",0,13991
1,26,finished,26,10,125,Hills,37,SI,Mezgec Luka,https://www.procyclingstats.com/rider/luka-mezgec,Team Jayco AlUla,,,",,",0,13991
1,27,finished,27,10,13,Classic,31,BE,Benoot Tiesj,https://www.procyclingstats.com/rider/tiesj-benoot,Team Visma | Lease a Bike,,,",,",0,13991
1,28,finished,28,10,106,Classic,30,NL,van der Poel Mathieu,https://www.procyclingstats.com/rider/mathieu-van-der-poel,Alpecin - Deceuninck,,,",,",0,13991
1,29,finished,29,10,224,Sprint,22,NO,Edvardsen-Fredheim Stian,https://www.procyclingstats.com/rider/stian-fredheim,Uno-X Mobility,,,",,",0,13991
1,30,finished,30,10,221,Climber,25,NO,Johannessen Tobias Halland,https://www.procyclingstats.com/rider/tobias-halland-johannessen,Uno-X Mobility,,,",,",0,13991
1,31,finished,31,10,141,Climber,30,ES,Mas Enric,https://www.procyclingstats.com/rider/enric-mas,Movistar Team,,,",,",0,13991
1,32,finished,32,10,7,GC,34,BE,Wellens Tim,https://www.procyclingstats.com/rider/tim-wellens,UAE Team Emirates - XRG,,,",,",0,13991
1,33,finished,33,10,93,Hills,29,FR,Barthe Cyril,https://www.procyclingstats.com/rider/cyril-barthe,Groupama - FDJ,,,",,",0,13991
1,34,finished,36,23,222,Classic,29,NO,Abrahamsen Jonas,https://www.procyclingstats.com/rider/jonas-abrahamsen,Uno-X Mobility,,,0:13,13,14004
1,35,finished,37,23,105,Classic,31,BE,Rickaert Jonas,https://www.procyclingstats.com/rider/jonas-rickaert,Alpecin - Deceuninck,,,",,",13,14004
1,36,finished,38,23,104,GC,33,BE,Meurisse Xandro,https://www.procyclingstats.com/rider/xandro-meurisse,Alpecin - Deceuninck,,,",,",13,14004
1,37,finished,39,30,172,Classic,30,IT,Ballerini Davide,https://www.procyclingstats.com/rider/davide-ballerini,XDS Astana Team,,,0:20,20,14011
1,38,finished,40,35,12,TT,29,IT,Affini Edoardo,https://www.procyclingstats.com/rider/edoardo-affini,Team Visma | Lease a Bike,,,0:25,25,14016
1,39,finished,41,49,81,Sprint,24,IT,Milan Jonathan,https://www.procyclingstats.com/rider/jonathan-milan,Lidl - Trek,,,0:39,39,14030
1,40,finished,42,49,211,Classic,23,BE,De Lie Arnaud,https://www.procyclingstats.com/rider/arnaud-de-lie,Lotto,,,",,",39,14030
1,41,finished,43,49,163,Sprint,33,FR,Coquard Bryan,https://www.procyclingstats.com/rider/bryan-coquard,Cofidis,,,",,",39,14030
1,42,finished,44,49,73,Classic,27,BE,Meeus Jordi,https://www.procyclingstats.com/rider/jordi-meeus,Red Bull - BORA - hansgrohe,,,",,",39,14030
1,43,finished,45,49,193,Sprint,22,CZ,Bittner Pavel,https://www.procyclingstats.com/rider/pavel-bittner,Team Picnic PostNL,,,",,",39,14030
1,44,finished,46,49,112,Sprint,27,IT,Dainese Alberto,https://www.procyclingstats.com/rider/alberto-dainese,Tudor Pro Cycling Team,,,",,",39,14030
1,45,finished,47,49,57,Hills,26,AU,Stannard Robert,https://www.procyclingstats.com/rider/robert-stannard,Bahrain - Victorious,,,",,",39,14030
