rider,rider_url,date_of_birth,birth_year,nationality,height_m,weight_kg,bmi,place_of_birth
Jonas Vingegaard,https://www.procyclingstats.com/rider/jonas-vingegaard,1996-12-10,1996,Denmark,1.75,58.0,18.94,Hillerslev
Filippo Ganna,https://www.procyclingstats.com/rider/filippo-ganna,1996-07-25,1996,Italy,1.93,83.0,22.28,Verbania
Tadej Pogačar,https://www.procyclingstats.com/rider/tadej-pogacar,1998-09-21,1998,Slovenia,1.76,66.0,21.31,Klanec
Juan Ayuso,https://www.procyclingstats.com/rider/juan-ayuso-pesquera,2002-09-16,2002,Spain,1.83,65.0,19.41,Barcelona
Remco Evenepoel,https://www.procyclingstats.com/rider/remco-evenepoel,2000-01-25,2000,Belgium,1.71,63.0,21.55,Aalst
Isaac del Toro,https://www.procyclingstats.com/rider/isaac-del-toro,2003-11-27,2003,Mexico,1.8,64.0,19.75,Ensenada
Davide Piganzoli,https://www.procyclingstats.com/rider/davide-piganzoli,2002-07-08,2002,Italy,1.74,61.0,20.15,Morbegno
Florian Lipowitz,https://www.procyclingstats.com/rider/florian-lipowitz,2000-09-21,2000,Germany,1.81,68.0,20.76,Laichingen
Tobias Foss,https://www.procyclingstats.com/rider/tobias-foss,1997-05-25,1997,Norway,1.84,74.0,21.86,Vingrom
Paul Seixas,https://www.procyclingstats.com/rider/paul-seixas,2006-09-24,2006,France,1.86,64.0,18.5,Lyon
Mathieu van der Poel,https://www.procyclingstats.com/rider/mathieu-van-der-poel,1995-01-19,1995,Netherlands,1.84,75.0,22.15,Kapellen
Romain Grégoire,https://www.procyclingstats.com/rider/romain-gregoire,2003-01-21,2003,France,1.76,64.0,20.66,Besançon
Antonio Tiberi,https://www.procyclingstats.com/rider/antonio-tiberi,2001-06-24,2001,Italy,1.82,62.0,18.72,Frosinone
Matthew Riccitello,https://www.procyclingstats.com/rider/matthew-riccitello,2002-03-05,2002,United States,1.72,55.0,18.59,Tucson
Lenny Martinez,https://www.procyclingstats.com/rider/lenny-martinez,2003-07-11,2003,France,1.68,52.0,18.42,Cannes
