stage,rider,rider_url,km_first_group,km_before_peloton
2,ENGELHARDT Felix,https://www.procyclingstats.com/rider/felix-engelhardt,133.0,133.0
2,MOLENAAR Alex,https://www.procyclingstats.com/rider/alex-molenaar,131.0,131.0
2,VAN DEN BROEK Frank,https://www.procyclingstats.com/rider/frank-van-den-broek,92.0,92.0
2,VEISTROFFER Baptiste,https://www.procyclingstats.com/rider/baptiste-veistroffer,,10.0
3,BAUDIN Alex,https://www.procyclingstats.com/rider/alex-baudin,113.0,121.0
3,VERCHER Mattéo,https://www.procyclingstats.com/rider/matheo-vercher,101.0,118.0
3,GARCÍA PIERNA Raúl,https://www.procyclingstats.com/rider/raul-garcia-pierna,96.0,107.0
3,PRODHOMME Nicolas,https://www.procyclingstats.com/rider/nicolas-prodhomme,93.0,106.0
3,VAN MECHELEN Vlad,https://www.procyclingstats.com/rider/vlad-van-mechelen,89.0,107.0
3,BENNETT George,https://www.procyclingstats.com/rider/george-bennett,88.0,112.0
3,VERVAEKE Louis,https://www.procyclingstats.com/rider/louis-vervaeke,67.0,75.0
3,OLIVEIRA Nelson,https://www.procyclingstats.com/rider/nelson-oliveira,61.0,69.0
3,CORT Magnus,https://www.procyclingstats.com/rider/magnus-cort-nielsen,61.0,69.0
3,PEDERSEN Mads,https://www.procyclingstats.com/rider/mads-pedersen,54.0,61.0
3,BRAZ AFONSO Clément,https://www.procyclingstats.com/rider/clement-braz-afonso,52.0,61.0
3,SCHMID Mauro,https://www.procyclingstats.com/rider/mauro-schmid,51.0,65.0
3,PLAPP Luke,https://www.procyclingstats.com/rider/luke-plapp,51.0,64.0
3,TEJADA Harold,https://www.procyclingstats.com/rider/harold-tejada,49.0,62.0
3,STORER Michael,https://www.procyclingstats.com/rider/michael-storer,47.0,59.0
3,DELBOVE Joris,https://www.procyclingstats.com/rider/joris-delbove,47.0,59.0
3,BALDERSTONE Abel,https://www.procyclingstats.com/rider/abel-balderstone-roumens,47.0,59.0
3,ARANBURU Alex,https://www.procyclingstats.com/rider/alex-aranburu,47.0,55.0
3,BERNAL Egan,https://www.procyclingstats.com/rider/egan-bernal,13.0,21.0
4,VACEK Mathias,https://www.procyclingstats.com/rider/mathias-vacek,166.0,178.0
4,CASTRILLO Pablo,https://www.procyclingstats.com/rider/pablo-castrillo-zapater,124.0,176.0
4,PEDERSEN Mads,https://www.procyclingstats.com/rider/mads-pedersen,122.0,178.0
4,TRATNIK Jan,https://www.procyclingstats.com/rider/jan-tratnik,122.0,141.0
4,VAUQUELIN Kévin,https://www.procyclingstats.com/rider/kevin-vauquelin,119.0,176.0
4,DEBRUYNE Ramses,https://www.procyclingstats.com/rider/ramses-debruyne,115.0,168.0
4,GARCÍA PIERNA Raúl,https://www.procyclingstats.com/rider/raul-garcia-pierna,115.0,167.0
